"","WHISKY","PRESENTER","DATE","AGE","PRICE","SIZE","ABV","X..1.5.oz","ORIGIN","AMOUNT","STATUS","Individual","value","WHISKYNAME"
"606","Glenlivet Guardians Chapter","Marian","20/10/2014","NAS",90,750,48,6,"Speyside",0,"RETIRED","Joss",80,"Glenlivet Guardians Chapter NAS"
"607","Laphoraig Quarter Cask","Miles","20/12/2012","5.7",70,750,48,5,"Islay",0.9,"OWNED","Joss",76,"Laphoraig Quarter Cask 5.7"
"608","Laphroaig","CLUB (SS2)","19/06/2014","18",180,750,48,11,"Islay",NA,"OWNED","Joss",88,"Laphroaig 18"
"609","Arran Malt Amarones Cask","Ash","24/04/2014","12",81,700,50,6,"Island",0,"REPLACE","Joss",81,"Arran Malt Amarones Cask 12"
"610","Arran Malt Port Cask","Joss","28/07/2016","NAS",90,700,50,6,"Island",0.5,"OWNED","Joss",81,"Arran Malt Port Cask NAS"
"611","Bunnahabhain  Cruach-Mhona","Jonathan","28/05/2015","NAS",120,1000,50,6,"Islay",0.3,"OWNED","Joss",85,"Bunnahabhain  Cruach-Mhona NAS"
"612","Balvenie 1509 Tun","CLUB (WS3)","17/12/2015","NAS",400,700,50,26,"Speyside",NA,"OWNED","Joss",88,"Balvenie 1509 Tun NAS"
"613","Linlithgow Signatory Vintage (1975)","CLUB (SS3)","24/06/2015","25",400,700,50,26,"Lowland",0,"RETIRED","Joss",93,"Linlithgow Signatory Vintage (1975) 25"
"614","Ardbeg Alligator","CLUB (SS1)","20/06/2013","NAS",170,700,51,11,"Islay",0,"RETIRED","Joss",82,"Ardbeg Alligator NAS"
"615","Glenfiddich Distillers Ed.","Marian","26/09/2013","15",75,750,51,5,"Speyside",0.9,"OWNED","Joss",79,"Glenfiddich Distillers Ed. 15"
"616","Laphroaig Cairdeas 200th Anniversary","Joss","25/02/2016","NAS",100,750,51,6,"Islay",NA,"OWNED","Joss",82,"Laphroaig Cairdeas 200th Anniversary NAS"
"618","Bowmore Laimrig","Joss","28/11/2013","15",96,750,54,6,"Islay",0,"EMPTY","Joss",78,"Bowmore Laimrig 15"
"619","Arbeg Dark Cove (Committee Release)","CLUB (WS4)","22/12/2016","NAS",200,750,55,12,"Islay",NA,"OWNED","Joss",83,"Arbeg Dark Cove (Committee Release) NAS"
"620","Bowmore Tempest IV","Dan","29/05/2014","10",80,750,55,5,"Islay",0,"REPLACE","Joss",80,"Bowmore Tempest IV 10"
"623","Ardbeg Correyvreckan","Andrew","01/09/2016","NAS",150,700,57,10,"Islay",NA,"OWNED","Joss",85,"Ardbeg Correyvreckan NAS"
"624","Glenlivet Nadurra Triumph","Joss","25/10/2012","16",85,750,58,6,"Speyside",0,"RETIRED","Joss",85,"Glenlivet Nadurra Triumph 16"
